From	To	Species	Gene Name
A_23_P416821	TMEM196	Homo sapiens	transmembrane protein 196
A_23_P83436	Pepd	Homo sapiens	peptidase D
A_23_P167468	PRLR	Homo sapiens	prolactin receptor
A_23_P17420	BCAS1	Homo sapiens	breast carcinoma amplified sequence 1
A_23_P257649	Rbp1	Homo sapiens	retinol binding protein 1, cellular
A_24_P265506	NTRK1	Homo sapiens	neurotrophic tyrosine kinase, receptor, type 1
A_23_P255618	NRSN1	Homo sapiens	neurensin 1
A_23_P168240	prpf4b	Homo sapiens	similar to hCG1820375; PRP4 pre-mRNA processing factor 4 homolog B (yeast)
A_23_P168240	LOC653155	Homo sapiens	similar to hCG1820375; PRP4 pre-mRNA processing factor 4 homolog B (yeast)
A_24_P128524	icmt	Homo sapiens	isoprenylcysteine carboxyl methyltransferase
A_32_P119248	FOXD4	Homo sapiens	forkhead box D4
A_32_P149492	NBPF14	Homo sapiens	neuroblastoma breakpoint family, member 15; neuroblastoma breakpoint family, member 14; neuroblastoma breakpoint family, member 9; neuroblastoma breakpoint family, member 11; neuroblastoma breakpoint family, member 11-like; neuroblastoma breakpoint family, member 10; neuroblastoma breakpoint family, member 12; neuroblastoma breakpoint family, member 20; neuroblastoma breakpoint family, member 1; KIAA1245; neuroblastoma breakpoint family, member 8
A_32_P149492	NBPF15	Homo sapiens	neuroblastoma breakpoint family, member 15; neuroblastoma breakpoint family, member 14; neuroblastoma breakpoint family, member 9; neuroblastoma breakpoint family, member 11; neuroblastoma breakpoint family, member 11-like; neuroblastoma breakpoint family, member 10; neuroblastoma breakpoint family, member 12; neuroblastoma breakpoint family, member 20; neuroblastoma breakpoint family, member 1; KIAA1245; neuroblastoma breakpoint family, member 8
A_32_P149492	NBPF10	Homo sapiens	neuroblastoma breakpoint family, member 15; neuroblastoma breakpoint family, member 14; neuroblastoma breakpoint family, member 9; neuroblastoma breakpoint family, member 11; neuroblastoma breakpoint family, member 11-like; neuroblastoma breakpoint family, member 10; neuroblastoma breakpoint family, member 12; neuroblastoma breakpoint family, member 20; neuroblastoma breakpoint family, member 1; KIAA1245; neuroblastoma breakpoint family, member 8
A_32_P149492	NBPF12	Homo sapiens	neuroblastoma breakpoint family, member 15; neuroblastoma breakpoint family, member 14; neuroblastoma breakpoint family, member 9; neuroblastoma breakpoint family, member 11; neuroblastoma breakpoint family, member 11-like; neuroblastoma breakpoint family, member 10; neuroblastoma breakpoint family, member 12; neuroblastoma breakpoint family, member 20; neuroblastoma breakpoint family, member 1; KIAA1245; neuroblastoma breakpoint family, member 8
A_32_P149492	NBPF1	Homo sapiens	neuroblastoma breakpoint family, member 15; neuroblastoma breakpoint family, member 14; neuroblastoma breakpoint family, member 9; neuroblastoma breakpoint family, member 11; neuroblastoma breakpoint family, member 11-like; neuroblastoma breakpoint family, member 10; neuroblastoma breakpoint family, member 12; neuroblastoma breakpoint family, member 20; neuroblastoma breakpoint family, member 1; KIAA1245; neuroblastoma breakpoint family, member 8
A_32_P149492	NBPF11	Homo sapiens	neuroblastoma breakpoint family, member 15; neuroblastoma breakpoint family, member 14; neuroblastoma breakpoint family, member 9; neuroblastoma breakpoint family, member 11; neuroblastoma breakpoint family, member 11-like; neuroblastoma breakpoint family, member 10; neuroblastoma breakpoint family, member 12; neuroblastoma breakpoint family, member 20; neuroblastoma breakpoint family, member 1; KIAA1245; neuroblastoma breakpoint family, member 8
A_32_P149492	AE01	Homo sapiens	neuroblastoma breakpoint family, member 15; neuroblastoma breakpoint family, member 14; neuroblastoma breakpoint family, member 9; neuroblastoma breakpoint family, member 11; neuroblastoma breakpoint family, member 11-like; neuroblastoma breakpoint family, member 10; neuroblastoma breakpoint family, member 12; neuroblastoma breakpoint family, member 20; neuroblastoma breakpoint family, member 1; KIAA1245; neuroblastoma breakpoint family, member 8
A_32_P149492	LOC200030	Homo sapiens	neuroblastoma breakpoint family, member 15; neuroblastoma breakpoint family, member 14; neuroblastoma breakpoint family, member 9; neuroblastoma breakpoint family, member 11; neuroblastoma breakpoint family, member 11-like; neuroblastoma breakpoint family, member 10; neuroblastoma breakpoint family, member 12; neuroblastoma breakpoint family, member 20; neuroblastoma breakpoint family, member 1; KIAA1245; neuroblastoma breakpoint family, member 8
A_32_P149492	KIAA1245	Homo sapiens	neuroblastoma breakpoint family, member 15; neuroblastoma breakpoint family, member 14; neuroblastoma breakpoint family, member 9; neuroblastoma breakpoint family, member 11; neuroblastoma breakpoint family, member 11-like; neuroblastoma breakpoint family, member 10; neuroblastoma breakpoint family, member 12; neuroblastoma breakpoint family, member 20; neuroblastoma breakpoint family, member 1; KIAA1245; neuroblastoma breakpoint family, member 8
A_32_P149492	NBPF9	Homo sapiens	neuroblastoma breakpoint family, member 15; neuroblastoma breakpoint family, member 14; neuroblastoma breakpoint family, member 9; neuroblastoma breakpoint family, member 11; neuroblastoma breakpoint family, member 11-like; neuroblastoma breakpoint family, member 10; neuroblastoma breakpoint family, member 12; neuroblastoma breakpoint family, member 20; neuroblastoma breakpoint family, member 1; KIAA1245; neuroblastoma breakpoint family, member 8
A_32_P149492	NBPF8	Homo sapiens	neuroblastoma breakpoint family, member 15; neuroblastoma breakpoint family, member 14; neuroblastoma breakpoint family, member 9; neuroblastoma breakpoint family, member 11; neuroblastoma breakpoint family, member 11-like; neuroblastoma breakpoint family, member 10; neuroblastoma breakpoint family, member 12; neuroblastoma breakpoint family, member 20; neuroblastoma breakpoint family, member 1; KIAA1245; neuroblastoma breakpoint family, member 8
A_23_P110462	Pcdhb1	Homo sapiens	protocadherin beta 1
A_32_P59302	Hivep3	Homo sapiens	human immunodeficiency virus type I enhancer binding protein 3
A_23_P331700	SRRM3	Homo sapiens	hypothetical protein FLJ37078
A_23_P61580	nsun6	Homo sapiens	NOL1/NOP2/Sun domain family, member 6
A_32_P35969	CHRNA7	Homo sapiens	CHRNA7 (cholinergic receptor, nicotinic, alpha 7, exons 5-10) and FAM7A (family with sequence similarity 7A, exons A-E) fusion; cholinergic receptor, nicotinic, alpha 7
A_32_P35969	CHRFAM7A	Homo sapiens	CHRNA7 (cholinergic receptor, nicotinic, alpha 7, exons 5-10) and FAM7A (family with sequence similarity 7A, exons A-E) fusion; cholinergic receptor, nicotinic, alpha 7
A_23_P167479	IL17B	Homo sapiens	interleukin 17B
A_24_P134074	rps19	Homo sapiens	ribosomal protein S19 pseudogene 3; ribosomal protein S19
A_24_P134074	RPS19P3	Homo sapiens	ribosomal protein S19 pseudogene 3; ribosomal protein S19
A_23_P150394	fxyd6	Homo sapiens	FXYD domain containing ion transport regulator 6
A_23_P254165	RAI2	Homo sapiens	retinoic acid induced 2
A_23_P256504	ambp	Homo sapiens	alpha-1-microglobulin/bikunin precursor
A_23_P128698	SPRY2	Homo sapiens	sprouty homolog 2 (Drosophila)
A_23_P352535	PPP1R16B	Homo sapiens	protein phosphatase 1, regulatory (inhibitor) subunit 16B
A_23_P117387	Mia2	Homo sapiens	melanoma inhibitory activity 2
A_23_P128641	USPL1	Homo sapiens	ubiquitin specific peptidase like 1
A_23_P145895	TP53TG1	Homo sapiens	TP53 target 1 (non-protein coding)
A_24_P307626	ATP1A4	Homo sapiens	ATPase, Na+/K+ transporting, alpha 4 polypeptide
A_23_P60488	Odf2	Homo sapiens	outer dense fiber of sperm tails 2
A_23_P314145	Ust	Homo sapiens	uronyl-2-sulfotransferase
A_32_P44394	AIM2	Homo sapiens	absent in melanoma 2
A_24_P255483	KSR1	Homo sapiens	kinase suppressor of ras 1
A_23_P41498	ADH6	Homo sapiens	alcohol dehydrogenase 6 (class V)
A_23_P78734	MYH14	Homo sapiens	myosin, heavy chain 14
A_23_P117380	Fam181a	Homo sapiens	family with sequence similarity 181, member A
A_23_P167444	LOC100132658	Homo sapiens	hypothetical gene supported by NM_014886; TGF beta-inducible nuclear protein 1; similar to TGF beta-inducible nuclear protein 1
A_23_P167444	LOC400061	Homo sapiens	hypothetical gene supported by NM_014886; TGF beta-inducible nuclear protein 1; similar to TGF beta-inducible nuclear protein 1
A_23_P167444	NSA2	Homo sapiens	hypothetical gene supported by NM_014886; TGF beta-inducible nuclear protein 1; similar to TGF beta-inducible nuclear protein 1
A_23_P110473	NAIP	Homo sapiens	NLR family, apoptosis inhibitory protein
A_32_P198810	LOH12CR2	Homo sapiens	loss of heterozygosity, 12, chromosomal region 2
A_23_P64070	Slc25a45	Homo sapiens	solute carrier family 25, member 45
A_23_P125618	GABRA3	Homo sapiens	gamma-aminobutyric acid (GABA) A receptor, alpha 3
A_24_P917886	Muc5ac	Homo sapiens	mucin 5AC, oligomeric mucus/gel-forming; similar to hCG1778310
A_23_P251443	CHRNA2	Homo sapiens	cholinergic receptor, nicotinic, alpha 2 (neuronal)
A_23_P336015	noc2l	Homo sapiens	nucleolar complex associated 2 homolog (S. cerevisiae)
A_23_P82351	BBS9	Homo sapiens	Bardet-Biedl syndrome 9
A_23_P256526	ZNF80	Homo sapiens	zinc finger protein 80
A_23_P209360	KLHL29	Homo sapiens	kelch-like 29 (Drosophila)
A_23_P60472	UBAP2	Homo sapiens	ubiquitin associated protein 2
A_23_P64058	Rasgrp2	Homo sapiens	RAS guanyl releasing protein 2 (calcium and DAG-regulated)
A_24_P255471	SYT9	Homo sapiens	synaptotagmin IX
A_32_P396186	TRIM66	Homo sapiens	tripartite motif-containing 66
A_23_P41487	TBC1D9	Homo sapiens	TBC1 domain family, member 9 (with GRAM domain)
A_23_P78742	FLT3LG	Homo sapiens	fms-related tyrosine kinase 3 ligand
A_24_P416346	Etv4	Homo sapiens	ets variant 4
A_23_P345591	psmA2	Homo sapiens	proteasome (prosome, macropain) subunit, alpha type, 2
A_32_P113566	BTBD9	Homo sapiens	BTB (POZ) domain containing 9
A_24_P910297	GOLGA2	Homo sapiens	golgi autoantigen, golgin subfamily a, 2
A_32_P149435	PTCHD1	Homo sapiens	patched domain containing 1
A_24_P38276	fzd1	Homo sapiens	frizzled homolog 1 (Drosophila)
A_23_P89270	SERPINF2	Homo sapiens	serpin peptidase inhibitor, clade F (alpha-2 antiplasmin, pigment epithelium derived factor), member 2
A_32_P149432	EIF4A1P4	Homo sapiens	similar to eukaryotic translation initiation factor 4A; small nucleolar RNA, H/ACA box 67; eukaryotic translation initiation factor 4A, isoform 1
A_32_P149432	EIF4A1	Homo sapiens	similar to eukaryotic translation initiation factor 4A; small nucleolar RNA, H/ACA box 67; eukaryotic translation initiation factor 4A, isoform 1
A_32_P149432	SNORA67	Homo sapiens	similar to eukaryotic translation initiation factor 4A; small nucleolar RNA, H/ACA box 67; eukaryotic translation initiation factor 4A, isoform 1
A_23_P53081	OSBPL5	Homo sapiens	oxysterol binding protein-like 5
A_23_P9340	BARHL1	Homo sapiens	BarH-like homeobox 1
A_23_P40307	SNRPB2	Homo sapiens	small nuclear ribonucleoprotein polypeptide B''
A_23_P128663	SACS	Homo sapiens	spastic ataxia of Charlevoix-Saguenay (sacsin)
A_23_P64044	fermt3	Homo sapiens	fermitin family homolog 3 (Drosophila)
A_23_P110492	MARCH6	Homo sapiens	membrane-associated ring finger (C3HC4) 6
A_24_P352637	TSSK4	Homo sapiens	testis-specific serine kinase 4
A_32_P7581	C21orf29	Homo sapiens	chromosome 21 open reading frame 29
A_23_P133585	CDK7	Homo sapiens	cyclin-dependent kinase 7
A_23_P257609	RPL29P11	Homo sapiens	ribosomal protein L29 pseudogene 9; ribosomal protein L29 pseudogene 12; ribosomal protein L29 pseudogene 11; ribosomal protein L29; ribosomal protein L29 pseudogene 26
A_23_P257609	RPL29P9	Homo sapiens	ribosomal protein L29 pseudogene 9; ribosomal protein L29 pseudogene 12; ribosomal protein L29 pseudogene 11; ribosomal protein L29; ribosomal protein L29 pseudogene 26
A_23_P257609	RPL29P26	Homo sapiens	ribosomal protein L29 pseudogene 9; ribosomal protein L29 pseudogene 12; ribosomal protein L29 pseudogene 11; ribosomal protein L29; ribosomal protein L29 pseudogene 26
A_23_P257609	rpl29	Homo sapiens	ribosomal protein L29 pseudogene 9; ribosomal protein L29 pseudogene 12; ribosomal protein L29 pseudogene 11; ribosomal protein L29; ribosomal protein L29 pseudogene 26
A_23_P257609	RPL29P12	Homo sapiens	ribosomal protein L29 pseudogene 9; ribosomal protein L29 pseudogene 12; ribosomal protein L29 pseudogene 11; ribosomal protein L29; ribosomal protein L29 pseudogene 26
A_24_P77082	kmo	Homo sapiens	kynurenine 3-monooxygenase (kynurenine 3-hydroxylase)
A_24_P24444	exog	Homo sapiens	endo/exonuclease (5'-3'), endonuclease G-like
A_23_P307392	DPF3	Homo sapiens	D4, zinc and double PHD fingers, family 3
A_32_P135818	LOC100130107	Homo sapiens	ribosomal protein S3A pseudogene 5; ribosomal protein S3a pseudogene 47; ribosomal protein S3a pseudogene 49; ribosomal protein S3A; hypothetical LOC100131699; hypothetical LOC100130107
A_32_P135818	RPS3AP5	Homo sapiens	ribosomal protein S3A pseudogene 5; ribosomal protein S3a pseudogene 47; ribosomal protein S3a pseudogene 49; ribosomal protein S3A; hypothetical LOC100131699; hypothetical LOC100130107
A_32_P135818	RPS3AP49	Homo sapiens	ribosomal protein S3A pseudogene 5; ribosomal protein S3a pseudogene 47; ribosomal protein S3a pseudogene 49; ribosomal protein S3A; hypothetical LOC100131699; hypothetical LOC100130107
A_32_P135818	LOC100131699	Homo sapiens	ribosomal protein S3A pseudogene 5; ribosomal protein S3a pseudogene 47; ribosomal protein S3a pseudogene 49; ribosomal protein S3A; hypothetical LOC100131699; hypothetical LOC100130107
A_32_P135818	RPS3AP47	Homo sapiens	ribosomal protein S3A pseudogene 5; ribosomal protein S3a pseudogene 47; ribosomal protein S3a pseudogene 49; ribosomal protein S3A; hypothetical LOC100131699; hypothetical LOC100130107
A_32_P135818	rps3a	Homo sapiens	ribosomal protein S3A pseudogene 5; ribosomal protein S3a pseudogene 47; ribosomal protein S3a pseudogene 49; ribosomal protein S3A; hypothetical LOC100131699; hypothetical LOC100130107
A_23_P367663	C9orf31	Homo sapiens	chromosome 9 open reading frame 31
A_23_P133582	etf1	Homo sapiens	eukaryotic translation termination factor 1
A_23_P158596	Agtrap	Homo sapiens	angiotensin II receptor-associated protein
A_24_P917866	set	Homo sapiens	SET nuclear oncogene; similar to SET translocation
A_24_P917866	LOC646817	Homo sapiens	SET nuclear oncogene; similar to SET translocation
A_23_P125639	ZFX	Homo sapiens	zinc finger protein, X-linked
A_23_P100963	SPNS3	Homo sapiens	spinster homolog 3 (Drosophila)
A_24_P787889	TMEM191A	Homo sapiens	transmembrane protein 191A
A_24_P63563	KIAA0141	Homo sapiens	KIAA0141
A_24_P416370	HOXB4	Homo sapiens	homeobox B4
A_23_P256542	Fam162a	Homo sapiens	family with sequence similarity 162, member A
A_23_P60499	znf462	Homo sapiens	zinc finger protein 462
A_24_P179244	LOC100128979	Homo sapiens	hypothetical protein LOC100128979
A_23_P330616	WIPF1	Homo sapiens	WAS/WASL interacting protein family, member 1
A_23_P215997	Cyp11b2	Homo sapiens	cytochrome P450, family 11, subfamily B, polypeptide 2
A_23_P133596	rnasen	Homo sapiens	ribonuclease type III, nuclear
A_23_P82334	SLC25A13	Homo sapiens	solute carrier family 25, member 13 (citrin)
A_24_P15043	KLHL18	Homo sapiens	kelch-like 18 (Drosophila)
A_24_P45476	XCL1	Homo sapiens	chemokine (C motif) ligand 1
A_23_P307382	SLC32A1	Homo sapiens	solute carrier family 32 (GABA vesicular transporter), member 1
A_23_P89249	Erbb2	Homo sapiens	v-erb-b2 erythroblastic leukemia viral oncogene homolog 2, neuro/glioblastoma derived oncogene homolog (avian)
A_23_P367676	SIN3A	Homo sapiens	SIN3 homolog A, transcription regulator (yeast)
A_23_P303101	PCDHGA12	Homo sapiens	protocadherin gamma subfamily C, 3; protocadherin gamma subfamily C, 5; protocadherin gamma subfamily C, 4; protocadherin gamma subfamily A, 12
A_23_P303101	PCDHGC5	Homo sapiens	protocadherin gamma subfamily C, 3; protocadherin gamma subfamily C, 5; protocadherin gamma subfamily C, 4; protocadherin gamma subfamily A, 12
A_23_P303101	PCDHGC4	Homo sapiens	protocadherin gamma subfamily C, 3; protocadherin gamma subfamily C, 5; protocadherin gamma subfamily C, 4; protocadherin gamma subfamily A, 12
A_23_P303101	PCDHGC3	Homo sapiens	protocadherin gamma subfamily C, 3; protocadherin gamma subfamily C, 5; protocadherin gamma subfamily C, 4; protocadherin gamma subfamily A, 12
A_32_P34876	WDR93	Homo sapiens	WD repeat domain 93
A_23_P125624	acot9	Homo sapiens	acyl-CoA thioesterase 9
A_23_P7101	Slbp	Homo sapiens	stem-loop binding protein
A_23_P251453	HNF4G	Homo sapiens	hepatocyte nuclear factor 4, gamma
A_24_P787897	Xylt1	Homo sapiens	xylosyltransferase I
A_23_P9362	psmb7	Homo sapiens	proteasome (prosome, macropain) subunit, beta type, 7
A_24_P358425	CCDC75	Homo sapiens	coiled-coil domain containing 75
A_23_P78771	NUCB1	Homo sapiens	nucleobindin 1
A_24_P288685	IL13RA1	Homo sapiens	interleukin 13 receptor, alpha 1
A_32_P31771	KIAA1715	Homo sapiens	KIAA1715
A_24_P168510	c19orf50	Homo sapiens	chromosome 19 open reading frame 50
A_23_P82324	CARD11	Homo sapiens	caspase recruitment domain family, member 11
A_23_P41455	Trpc3	Homo sapiens	transient receptor potential cation channel, subfamily C, member 3
A_23_P150343	Sln	Homo sapiens	sarcolipin
A_23_P502224	cyb5r3	Homo sapiens	cytochrome b5 reductase 3
A_23_P167401	PCDHB11	Homo sapiens	protocadherin beta 11
A_23_P17481	SIGLEC1	Homo sapiens	sialic acid binding Ig-like lectin 1, sialoadhesin
A_23_P132438	MSL2	Homo sapiens	male-specific lethal 2 homolog (Drosophila)
A_23_P16354	ZNF382	Homo sapiens	zinc finger protein 382
A_23_P256572	RHAG	Homo sapiens	Rh-associated glycoprotein
A_23_P215980	KIAA1429	Homo sapiens	KIAA1429
A_32_P30649	ETV5	Homo sapiens	ets variant 5
A_23_P111961	MAK16	Homo sapiens	MAK16 homolog (S. cerevisiae)
A_24_P82135	secisbp2l	Homo sapiens	SECIS binding protein 2-like
A_32_P204381	CIAPIN1	Homo sapiens	cytokine induced apoptosis inhibitor 1; cytokine induced apoptosis inhibitor 1 pseudogene
A_32_P204381	CIAPIN1P	Homo sapiens	cytokine induced apoptosis inhibitor 1; cytokine induced apoptosis inhibitor 1 pseudogene
A_24_P8220	HS6ST1	Homo sapiens	heparan sulfate 6-O-sulfotransferase 1
A_23_P255672	ABLIM2	Homo sapiens	actin binding LIM protein family, member 2
A_24_P409985	TMEM44	Homo sapiens	transmembrane protein 44
A_23_P78782	CA11	Homo sapiens	carbonic anhydrase XI
A_23_P53039	Ldhc	Homo sapiens	lactate dehydrogenase C
A_23_P132444	TCEA1P2	Homo sapiens	transcription elongation factor A (SII), 1 pseudogene 2; transcription elongation factor A (SII), 1
A_23_P132444	TCEA1	Homo sapiens	transcription elongation factor A (SII), 1 pseudogene 2; transcription elongation factor A (SII), 1
A_24_P107317	USP2	Homo sapiens	ubiquitin specific peptidase 2
A_23_P139434	PRB2	Homo sapiens	proline-rich protein BstNI subfamily 1; proline-rich protein BstNI subfamily 2; proline-rich protein BstNI subfamily 4
A_23_P139434	Prb1	Homo sapiens	proline-rich protein BstNI subfamily 1; proline-rich protein BstNI subfamily 2; proline-rich protein BstNI subfamily 4
A_23_P139434	PRB4	Homo sapiens	proline-rich protein BstNI subfamily 1; proline-rich protein BstNI subfamily 2; proline-rich protein BstNI subfamily 4
A_23_P209320	PER2	Homo sapiens	period homolog 2 (Drosophila)
A_23_P40315	C20orf12	Homo sapiens	chromosome 20 open reading frame 12
A_23_P145841	SOSTDC1	Homo sapiens	sclerostin domain containing 1
A_23_P17471	Fam113a	Homo sapiens	family with sequence similarity 113, member A
A_23_P307328	Whsc1	Homo sapiens	Wolf-Hirschhorn syndrome candidate 1
A_24_P90216	LGR4	Homo sapiens	leucine-rich repeat-containing G protein-coupled receptor 4
A_23_P111978	KCNK9	Homo sapiens	potassium channel, subfamily K, member 9
A_23_P91891	copb2	Homo sapiens	coatomer protein complex, subunit beta 2 (beta prime)
A_23_P256561	TLR6	Homo sapiens	toll-like receptor 6
A_32_P204376	C21orf81	Homo sapiens	hCG2042718; chromosome 21 open reading frame 81; ankyrin repeat domain 20 family, member A1; ankyrin repeat domain 20 family, member A3; ankyrin repeat domain 20 family, member A2
A_32_P204376	ANKRD20A1	Homo sapiens	hCG2042718; chromosome 21 open reading frame 81; ankyrin repeat domain 20 family, member A1; ankyrin repeat domain 20 family, member A3; ankyrin repeat domain 20 family, member A2
A_32_P204376	ANKRD20A2	Homo sapiens	hCG2042718; chromosome 21 open reading frame 81; ankyrin repeat domain 20 family, member A1; ankyrin repeat domain 20 family, member A3; ankyrin repeat domain 20 family, member A2
A_32_P204376	ANKRD20A3	Homo sapiens	hCG2042718; chromosome 21 open reading frame 81; ankyrin repeat domain 20 family, member A1; ankyrin repeat domain 20 family, member A3; ankyrin repeat domain 20 family, member A2
A_32_P204376	LOC642204	Homo sapiens	hCG2042718; chromosome 21 open reading frame 81; ankyrin repeat domain 20 family, member A1; ankyrin repeat domain 20 family, member A3; ankyrin repeat domain 20 family, member A2
A_24_P335305	Oas3	Homo sapiens	2'-5'-oligoadenylate synthetase 3, 100kDa
A_23_P382705	TMTC2	Homo sapiens	transmembrane and tetratricopeptide repeat containing 2
A_23_P125643	ASB9	Homo sapiens	ankyrin repeat and SOCS box-containing 9
A_24_P374382	TOP1P2	Homo sapiens	topoisomerase (DNA) I pseudogene 2
A_24_P63537	ERAP1	Homo sapiens	endoplasmic reticulum aminopeptidase 1
A_23_P41476	Shisa3	Homo sapiens	shisa homolog 3 (Xenopus laevis)
A_23_P89215	Fn3k	Homo sapiens	fructosamine 3 kinase
A_23_P78750	slc17a7	Homo sapiens	solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), member 7
A_24_P45446	GBP4	Homo sapiens	guanylate binding protein 4
A_23_P41470	Ddx60	Homo sapiens	DEAD (Asp-Glu-Ala-Asp) box polypeptide 60
A_23_P209337	Fam119a	Homo sapiens	family with sequence similarity 119, member A
A_23_P132417	lsg1	Homo sapiens	large subunit GTPase 1 homolog (S. cerevisiae)
A_23_P367628	KIAA0528	Homo sapiens	KIAA0528
A_23_P150325	TMEM133	Homo sapiens	transmembrane protein 133
A_23_P40347	hm13	Homo sapiens	histocompatibility (minor) 13
A_23_P145874	SAMD9L	Homo sapiens	sterile alpha motif domain containing 9-like
A_23_P251421	cdca7	Homo sapiens	cell division cycle associated 7
A_23_P128624	CARS2	Homo sapiens	cysteinyl-tRNA synthetase 2, mitochondrial (putative)
A_23_P9392	c9orf114	Homo sapiens	chromosome 9 open reading frame 114
A_24_P63522	HMGCS1	Homo sapiens	3-hydroxy-3-methylglutaryl-Coenzyme A synthase 1 (soluble)
A_24_P13475	SPATA13	Homo sapiens	spermatogenesis associated 13
A_24_P319113	P2RX7	Homo sapiens	purinergic receptor P2X, ligand-gated ion channel, 7
A_23_P345564	OPRL1	Homo sapiens	opiate receptor-like 1
A_32_P219942	Zic5	Homo sapiens	Zic family member 5 (odd-paired homolog, Drosophila)
A_23_P111981	LYNX1	Homo sapiens	Ly6/neurotoxin 1
A_24_P45451	SLAMF6	Homo sapiens	SLAM family member 6
A_23_P17490	LOC642975	Homo sapiens	hypothetical LOC642975; chromosome 20 open reading frame 30
A_23_P17490	c20orf30	Homo sapiens	hypothetical LOC642975; chromosome 20 open reading frame 30
A_23_P78762	hsd17b14	Homo sapiens	hydroxysteroid (17-beta) dehydrogenase 14
A_23_P314191	ZDHHC17	Homo sapiens	zinc finger, DHHC-type containing 17
A_23_P150316	Mmp12	Homo sapiens	matrix metallopeptidase 12 (macrophage elastase)
A_23_P43690	Bnc2	Homo sapiens	basonuclin 2
A_23_P53057	ZNF215	Homo sapiens	zinc finger protein 215
A_23_P215956	MYC	Homo sapiens	v-myc myelocytomatosis viral oncogene homolog (avian)
A_24_P165595	arl5a	Homo sapiens	ADP-ribosylation factor-like 5A
A_23_P209347	ANKRD44	Homo sapiens	ankyrin repeat domain 44
A_24_P212074	C13orf39	Homo sapiens	chromosome 13 open reading frame 39
A_23_P145863	S100A11	Homo sapiens	S100 calcium binding protein A11; S100 calcium binding protein A11 pseudogene
A_23_P145863	S100A11P1	Homo sapiens	S100 calcium binding protein A11; S100 calcium binding protein A11 pseudogene
A_24_P361006	NDUFA9	Homo sapiens	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 9, 39kDa
A_24_P212072	ANKRD32	Homo sapiens	ankyrin repeat domain 32
A_24_P307653	Slc6a15	Homo sapiens	solute carrier family 6 (neutral amino acid transporter), member 15
A_23_P128613	Kdelc1	Homo sapiens	KDEL (Lys-Asp-Glu-Leu) containing 1
A_24_P917833	tmed10	Homo sapiens	transmembrane emp24-like trafficking protein 10 (yeast)
A_23_P251412	scgn	Homo sapiens	secretagogin, EF-hand calcium binding protein
A_23_P100991	KRT38	Homo sapiens	keratin 38
A_23_P256581	prdm13	Homo sapiens	PR domain containing 13
A_23_P43684	Bnc2	Homo sapiens	basonuclin 2
A_32_P113508	atg16l1	Homo sapiens	ATG16 autophagy related 16-like 1 (S. cerevisiae)
A_23_P255695	SLC17A3	Homo sapiens	solute carrier family 17 (sodium phosphate), member 3
A_23_P111995	loxl2	Homo sapiens	lysyl oxidase-like 2
A_24_P82106	MMP14	Homo sapiens	matrix metallopeptidase 14 (membrane-inserted)
A_23_P139418	Galntl4	Homo sapiens	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase-like 4
A_23_P125668	Slc25a43	Homo sapiens	solute carrier family 25, member 43
A_23_P415706	GPR133	Homo sapiens	G protein-coupled receptor 133
A_24_P107336	VPS26B	Homo sapiens	vacuolar protein sorting 26 homolog B (S. pombe)
A_23_P64083	SF3B2	Homo sapiens	splicing factor 3b, subunit 2, 145kDa
A_23_P7144	CXCL1	Homo sapiens	chemokine (C-X-C motif) ligand 1 (melanoma growth stimulating activity, alpha)
A_32_P46571	Rhbdl2	Homo sapiens	rhomboid, veinlet-like 2 (Drosophila)
A_24_P76018	C3orf71	Homo sapiens	chromosome 3 open reading frame 71
A_23_P431410	RBMS1	Homo sapiens	RNA binding motif, single stranded interacting protein 1
A_23_P66241	MT1M	Homo sapiens	metallothionein 1M
A_23_P125686	INGX	Homo sapiens	inhibitor of growth family, X-linked, pseudogene
A_24_P87931	APOL1	Homo sapiens	apolipoprotein L, 1
A_24_P341923	kiaa1632	Homo sapiens	KIAA1632
A_32_P124746	rheb	Homo sapiens	Ras homolog enriched in brain
A_23_P60517	FXN	Homo sapiens	frataxin
A_24_P307599	NAG20	Homo sapiens	NAG20
A_23_P91850	Il20rb	Homo sapiens	interleukin 20 receptor beta
A_23_P117437	IL25	Homo sapiens	interleukin 25
A_23_P214487	Hist1h4c	Homo sapiens	histone cluster 1, H4l; histone cluster 1, H4k; histone cluster 4, H4; histone cluster 1, H4h; histone cluster 1, H4j; histone cluster 1, H4i; histone cluster 1, H4d; histone cluster 1, H4c; histone cluster 1, H4f; histone cluster 1, H4e; histone cluster 1, H4b; histone cluster 1, H4a; histone cluster 2, H4a; histone cluster 2, H4b
A_23_P214487	Hist1h4d	Homo sapiens	histone cluster 1, H4l; histone cluster 1, H4k; histone cluster 4, H4; histone cluster 1, H4h; histone cluster 1, H4j; histone cluster 1, H4i; histone cluster 1, H4d; histone cluster 1, H4c; histone cluster 1, H4f; histone cluster 1, H4e; histone cluster 1, H4b; histone cluster 1, H4a; histone cluster 2, H4a; histone cluster 2, H4b
